keyword,category,day
менеджер з продажу,Продажі та торгівля,mon
торговий представник,Продажі та торгівля,mon
продавець-консультант,Продажі та торгівля,mon
керівник відділу продажів,Продажі та торгівля,mon
менеджер по роботі з клієнтами,Продажі та торгівля,mon
регіональний менеджер з продажу,Продажі та торгівля,mon
мерчандайзер,Продажі та торгівля,mon
sales manager,Продажі та торгівля,mon
спеціаліст служби підтримки,Клієнтський сервіс,mon
оператор кол-центру,Клієнтський сервіс,mon
менеджер з клієнтського сервісу,Клієнтський сервіс,mon
спеціаліст техпідтримки,Клієнтський сервіс,mon
customer support,Клієнтський сервіс,mon
оператор чату,Клієнтський сервіс,mon
координатор клієнтського відділу,Клієнтський сервіс,mon
бухгалтер,Бухгалтерія та фінанси,tue
головний бухгалтер,Бухгалтерія та фінанси,tue
фінансовий аналітик,Бухгалтерія та фінанси,tue
фінансовий директор,Бухгалтерія та фінанси,tue
економіст,Бухгалтерія та фінанси,tue
фінансовий менеджер,Бухгалтерія та фінанси,tue
спеціаліст з обліку,Бухгалтерія та фінанси,tue
касир,Бухгалтерія та фінанси,tue
спеціаліст банку,Банківська справа та страхування,tue
кредитний менеджер,Банківська справа та страхування,tue
страховий агент,Банківська справа та страхування,tue
андеррайтер,Банківська справа та страхування,tue
консультант банку,Банківська справа та страхування,tue
менеджер з іпотечного кредитування,Банківська справа та страхування,tue
рекрутер,HR та управління персоналом,wed
HR-менеджер,HR та управління персоналом,wed
спеціаліст з підбору персоналу,HR та управління персоналом,wed
HR business partner,HR та управління персоналом,wed
менеджер з навчання персоналу,HR та управління персоналом,wed
спеціаліст з кадрового діловодства,HR та управління персоналом,wed
HR generalist,HR та управління персоналом,wed
офіс-менеджер,Адміністративний персонал,wed
секретар,Адміністративний персонал,wed
помічник керівника,Адміністративний персонал,wed
адміністратор,Адміністративний персонал,wed
діловод,Адміністративний персонал,wed
асистент відділу,Адміністративний персонал,wed
маркетолог,Маркетинг реклама PR,thu
SMM-менеджер,Маркетинг реклама PR,thu
менеджер з реклами,Маркетинг реклама PR,thu
бренд-менеджер,Маркетинг реклама PR,thu
PR-менеджер,Маркетинг реклама PR,thu
контент-менеджер,Маркетинг реклама PR,thu
digital-маркетолог,Маркетинг реклама PR,thu
таргетолог,Маркетинг реклама PR,thu
копірайтер,Маркетинг реклама PR,thu
юрист,Юриспруденція,thu
юрисконсульт,Юриспруденція,thu
адвокат,Юриспруденція,thu
спеціаліст з договірної роботи,Юриспруденція,thu
паралегал,Юриспруденція,thu
логіст,Логістика транспорт склад,fri
менеджер з логістики,Логістика транспорт склад,fri
комірник,Логістика транспорт склад,fri
водій-експедитор,Логістика транспорт склад,fri
диспетчер,Логістика транспорт склад,fri
менеджер зі складу,Логістика транспорт склад,fri
спеціаліст з митного оформлення,Логістика транспорт склад,fri
водій категорії С,Логістика транспорт склад,fri
інженер-технолог,Виробництво та інженерія,fri
механік,Виробництво та інженерія,fri
майстер виробництва,Виробництво та інженерія,fri
інженер з якості,Виробництво та інженерія,fri
енергетик,Виробництво та інженерія,fri
начальник виробництва,Виробництво та інженерія,fri
прораб,Будівництво та нерухомість,sat
інженер-будівельник,Будівництво та нерухомість,sat
ріелтор,Будівництво та нерухомість,sat
менеджер з нерухомості,Будівництво та нерухомість,sat
кошторисник,Будівництво та нерухомість,sat
архітектор,Будівництво та нерухомість,sat
електромонтажник,Будівництво та нерухомість,sat
лікар,Медицина та фармацевтика,sat
медична сестра,Медицина та фармацевтика,sat
фармацевт,Медицина та фармацевтика,sat
провізор,Медицина та фармацевтика,sat
стоматолог,Медицина та фармацевтика,sat
медичний представник,Медицина та фармацевтика,sat
вчитель,Освіта та наука,sun
викладач,Освіта та наука,sun
репетитор,Освіта та наука,sun
вихователь,Освіта та наука,sun
методист,Освіта та наука,sun
психолог,Освіта та наука,sun
тренер,Освіта та наука,sun
керівник відділу,Топ-менеджмент та управління,sun
операційний директор,Топ-менеджмент та управління,sun
генеральний директор,Топ-менеджмент та управління,sun
керівник проєкту,Топ-менеджмент та управління,sun
директор з розвитку,Топ-менеджмент та управління,sun
